p1.key,p1.hotel_name,p1.city_name,p1.country_code,p1.hotel_address,p1.star_rating,p1.postal_code,p2.key,p2.hotel_name,p2.city_name,p2.country_code,p2.hotel_address,p2.star_rating,p2.postal_code
074BF1CC1F1C150E080EBB9855D23EAC,Grand Malioboro Hotel,Jambi,ID,Jl. Iskandar Muda no. 168 Jambi,3,,CBEF956F35D16548C939056575C7E0C7,Grand Malioboro Hotel,Jambi,ID,"Jalan Iskandar Muda No. 168, Sei Asam, Pasar Jambi",3,36113
103756D573E5A0C80ED374C9637DB142,Full House Resort,Mae Suai / Wiang Pa Pao (Chiang Rai),TH,171 Moo.1 Tambol Pa Ngiu Ampor Wiangpapao Chiangrai,3,57170,603122E5379E7354B532B876BB149C8D,Fullhouse Resort,Ban Pa Ngiu,TH,171 Moo.1 Tambol Pangiu Chiangrai,3,57170
341522B8405C1A26EA3786E3F702AA0C,Ondas Do Mar Beach Resort Phase 1,Goa,IN,"Holiday St, Gaura Waddo",2,403516,DC03E5D79546157E53DB083C349BF03F,Ondas Do Mar Beach Resort Phase -1,Calangute,IN,"Holiday Street, Gaura Waddo, Calangute,Bardez,Goa",0,403516
85F1C44C25A14B5E918B6D2917FEF5E2,7 Days Inn Guangzhou Baiyun Yongtai Metro 2nd Branch,Guangzhou,CN,"Building 3, No. 116 Tongtai Road",1.5,,739B4F2C65D4DBCE62C30CE8C18FCBFF,7Days Inn Guangzhou Baiyun Yongtai Subway Station 2nd,Guangzhou,CN,"No. 3 Building, No. 116 Tongtai Road, Baiyun District",2,510420
58F58899B2131D5BB416262DD7000418,Hampton Inn Rome,Rome (NY),US,1352 Floyd Avenue,2.5,13441,B78EC933B2CF6DD45038CC86611EEA49,Hampton Inn Rome,Rome,US,1352 Floyd Avenue,4,13441
58188D75096C7D8831DEE0DCFD4C5C46,Pension Flying Sumo,Chiba,JP,"2140-2 Onjuku-machi Hama, Isumi-gun,",3,299-5107,7A5E2F8DB23294A3CE7AEC2AAE52ECC2,Flying Sumo Surf Company,Onjuku,JP,Hama 2140-2 ,3,299-5107
92C9A5DD32F55F0B8A69AE86C74A8A33,Sagala Boutique Hotel,Bandarawela,LK,Poonagala Road,3,90100,F36BDBD189FDBEB7F70A05018849C449,Sagala Boutique Hotel,Bandarawela,LK,"Bandarawela Station, Poonagala Road, Sagala",0,90100
67C64F20D7A27A85944C73F5894D4010,Cube Guesthouse,Seoul,KR,"28-4, Itaewon-ro 23-gil, Yongsan-gu",1.5,140-201,A681425FEE2D766CD9CC988FB7BF1B67,Cube Guesthouse,Seoul,KR,"122-7 Itaewon-dong, Yongsan-gu",1,140-200
38D1168661AE2B6C1CC893FFF0654B18,Hotel Pigeon International,Bangalore,IN,"Adjacent to HAL Airport, Arrival Gate, Konena Agrahara",3,560017,A2B065E6200D73E09141F0B93F9879CB,Hotel Pigeon International,Bangalore,IN,"Adjacent HAL Old Airport Arrival Gate, Konena Agrahara",3,560017
7AAF5200E3652FCA2E21E8D2C5CED993,YHA Kiyosato Ihatov Youth Hostel,Shiretoko,JP,"282, Kouyou, Kiyosato-cho Shari-gun",2,099-4403,BEBA7ED747EF3BF5255A4A24AC336B1F,YHA Kiyosato Ihatov Youth Hostel,Kiyosato,JP,Koyo 282,1,099-4403
